render backend: http://127.0.0.1:8080/render
admin data:     http://127.0.0.1:9090/admin/stats
[INFO] thread pool initialized with 16 workers
[23:30:38] 127.0.0.1:41538       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.9ms
[23:30:38] 127.0.0.1:41542       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.8ms
[23:30:38] 127.0.0.1:41546       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:38] 127.0.0.1:41562       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:38] 127.0.0.1:41572       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:38] 127.0.0.1:41574       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.2ms
[23:30:38] 127.0.0.1:41596       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.7ms
[23:30:38] 127.0.0.1:41612       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:38] 127.0.0.1:41624       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.9ms
[23:30:38] 127.0.0.1:41622       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:38] 127.0.0.1:41630       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.7ms
[23:30:38] 127.0.0.1:41644       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.1ms
[23:30:38] 127.0.0.1:41654       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:38] 127.0.0.1:41666       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:38] 127.0.0.1:41672       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:38] 127.0.0.1:41674       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.7ms
[23:30:38] 127.0.0.1:41692       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.2ms
[23:30:38] 127.0.0.1:41698       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.2ms
[23:30:38] 127.0.0.1:41714       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.9ms
[23:30:38] 127.0.0.1:41712       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.7ms
[23:30:38] 127.0.0.1:41724       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.6ms
[23:30:38] 127.0.0.1:41736       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 25.8ms
[23:30:38] 127.0.0.1:41750       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.5ms
[23:30:38] 127.0.0.1:41752       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.9ms
[23:30:38] 127.0.0.1:41764       GET /render?w=320&h=320&iter=600 -> 200 0.293MB 24.7ms
